First,Returning,Race / Ethnicity ,Age,Zip Code
1,Y,Middle Eastern,13,15205
2,,Middle Eastern,15,15205
3,,Middle Eastern,,15205
4,,Middle Eastern,17,15205
5,Y,Asian,14,15210
6,Y,Asian,15,15210
7,Y,Asian,19,15205
8,N,Middle Eastern,15,15207
9,N,Middle Eastern,,
10,ASC,Middle Eastern,17,15205
11,,Middle Eastern,16,15205
12,N ,Middle Eastern,20,15228
13,,Middle Eastern,17,15228
14,N,Middle Eastern,18,15229
15,,Middle Eastern,15,15229
16,Y,Black or African American,13,15220
17,,Black or African American,15,15220
18,Y,Black or African American,17,15214
19,Y,Black or African American,,15214
20,ASC,Black or African American,15,15204
21,No,Black or African American,,15204
22,Y,Black or African American,18,15205
23,Y,Black or African American,,15210
24,,Black or African American,15,15210
25,ASC,Black or African American,17,15210
26,Y,Black or African American,16,15204
27,,Black or African American,13,15204
28,Y,Black or African American,16,15205
29,N,Black or African American,,40214
30,Y,Middle Eastern,14,15210
31,Y,Middle Eastern,14,15205
32,Y,Asian,13,15210
33,N,Asian,,15210
34,N,Asian,,15236
35,N,Hispanic or Latino,18,15202
36,N,Hispanic or Latino,18,15228
37,N,Hispanic or Latino,18,
38,N,Hispanic or Latino,18,15221
39,N,Hispanic or Latino,15,15221
40,Y,Hispanic or Latino,15,15210
41,N,Hispanic or Latino,11,15210
42,N,Hispanic or Latino,12,15203
43,Y,Hispanic or Latino,15,15226
44,Y,Hispanic or Latino,16,15226
45,N,Hispanic or Latino,15,15227
46,N,Hispanic or Latino,15,15217
47,Y,Hispanic or Latino,12,15227
48,N,Hispanic or Latino,12,15220
49,,Hispanic or Latino,15,15220
50,N,Hispanic or Latino,18,15226
51,Y,Black or African American,15,15214
52,Y,Black or African American,15,15205
53,,Black or African American,13,15205
54,Y,Black or African American,14,15205
55,Y,Black or African American,13,15205
56,Y,Black or African American,,15205
57,,Black or African American,16,15205
58,Y,Black or African American,14,15205
59,,Black or African American,,15205
60,Y,Black or African American,16,15205
61,,Black or African American,13,15205
62,Y,Black or African American,15,15205
63,Y,Black or African American,13,15205
64,,Black or African American,16,15205
65,Y,Black or African American,18,15210
66,,Black or African American,16,15210
67,,Black or African American,14,15210
68,,Black or African American,12,15210
69,Y,Black or African American,13,15210
70,,Black or African American,14,15210
71,Y,Black or African American,15,15214
72,Y,Black or African American,13,15214
73,Y,Black or African American,17,15214
74,Y,Black or African American,16,15214
75,Y,Black or African American,15,15214
76,Y,Black or African American,15,15214
77,Y,Black or African American,13,15214
78,ASC,Black or African American,19,15205
79,,Black or African American,17,15205
80,N,Black or African American,13,15205
81,N,Black or African American,19,15205
82,,Black or African American,16,15205
83,N,Black or African American,14,15205
84,,Black or African American,12,15205
85,N,Black or African American,18,15205
86,,Black or African American,15,15205
87,N,Black or African American,,15203
88,,Black or African American,,15203
89,Y,Black or African American,,15205
90,Y,Black or African American,14,15210
91,N,Black or African American,15,15205
92,N,Black or African American,16,15206
93,,Black or African American,17,15206
94,Y,Middle Eastern,15,15205
95,,Black or African American,16,40214
96,,Black or African American,15,15210
97,,Black or African American,,15205
98,,Black or African American,18,15214
99,,Black or African American,18,15220
100,,Black or African American,20,15205
101,,Black or African American,,15214
102,,Black or African American,,15227
103,,Black or African American,,15228
104,,Black or African American,17,15206
105,,Black or African American,,15216
106,,Black or African American,,15227
107,,Black or African American,,15212
108,,Black or African American,,15214
109,,Black or African American,,15220